first,second
13.8317,941.40
13.8461,938.33
13.8605,894.00
13.8749,925.00
13.8893,925.00
13.9037,908.00
13.9182,938.00
13.9326,902.00
13.9470,949.00
13.9614,957.26
13.9758,860.56
13.9902,925.02
14.0046,926.05
14.0190,916.84
14.0334,916.84
14.0478,918.88
14.0622,897.50
14.0766,935.00
14.0910,950.00
14.1055,988.50
14.1199,937.00
14.1343,958.00
14.1487,946.00
14.1631,987.44
14.1775,1015.07
14.1919,1051.91
14.2063,981.30
14.2207,1104.09
14.2351,1113.30
14.2495,1108.19
14.2639,1127.00
14.2783,1228.00
14.2927,1273.00
14.3072,1227.00
14.3216,1298.00
14.3360,1249.00
14.3504,1169.58
14.3648,1194.65
14.3792,1169.58
14.3936,1043.72
14.4080,980.28
14.4224,995.63
14.4368,1017.12
14.4512,987.00
14.4656,927.00
14.4800,971.00
14.4945,916.00
14.5089,910.00
14.5233,946.00
14.5377,910.00
14.5521,894.33
14.5665,934.23
14.5809,889.21
14.5953,869.77
14.6097,865.67
14.6241,938.33
14.6385,912.74
14.6529,889.00
14.6673,913.00
14.6817,879.00
14.6962,875.00
14.7106,916.00
14.7250,950.00
14.7394,917.00
14.7538,878.98
14.7682,889.21
14.7826,928.09
14.7970,889.21
14.8114,870.79
14.8258,920.93
14.8402,960.84
14.8546,851.00
14.8690,883.00
14.8834,893.00
14.8979,896.50
14.9123,957.00
14.9267,957.50
14.9411,945.00
14.9555,969.02
14.9699,950.60
14.9843,909.16
14.9987,898.42
15.0131,892.79
15.0275,875.91
15.0419,931.16
15.0563,905.00
15.0707,907.50
15.0852,865.00
15.0996,885.00
15.1140,901.00
15.1284,922.00
15.1428,898.00
15.1572,890.23
15.1716,976.19
15.1860,893.30
15.2004,893.30
15.2148,896.37
15.2292,857.49
15.2436,904.56
15.2580,925.00
15.2724,930.00
15.2869,898.00
15.3013,918.00
15.3157,917.00
15.3301,887.00
15.3445,949.00
15.3589,903.53
15.3733,844.19
15.3877,890.23
15.4021,868.74
15.4165,885.63
15.4309,914.79
15.4453,859.02
15.4597,855.00
15.4742,878.00
15.4886,854.00
15.5030,892.00
15.5174,838.00
15.5318,892.00
15.5462,927.00
15.5606,868.74
15.5750,893.30
15.5894,913.77
15.6038,882.56
15.6182,863.63
15.6326,869.77
15.6470,857.49
15.6614,861.00
15.6759,893.00
15.6903,908.00
15.7047,934.00
15.7191,938.00
15.7335,873.00
15.7479,854.00
15.7623,866.70
15.7767,884.09
15.7911,850.33
15.8055,927.07
15.8199,935.26
15.8343,887.16
15.8487,921.95
15.8632,874.00
15.8776,907.00
15.8920,901.00
15.9064,911.00
15.9208,943.00
15.9352,915.50
15.9496,883.07
15.9640,852.37
15.9784,913.77
15.9928,878.98
16.0072,833.95
16.0216,916.84
16.0360,901.49
16.0504,859.53
16.0649,924.00
16.0793,854.00
16.0937,882.00
16.1081,870.00
16.1225,865.00
16.1369,923.00
16.1513,880.00
16.1657,888.19
16.1801,877.95
16.1945,927.07
16.2089,848.28
16.2233,854.42
16.2377,860.56
16.2521,866.00
16.2666,859.00
16.2810,913.00
16.2954,866.00
16.3098,872.00
16.3242,837.00
16.3386,886.00
16.3530,882.05
16.3674,853.40
16.3818,910.70
16.3962,869.26
16.4106,913.26
16.4250,868.74
16.4394,900.47
16.4539,888.50
16.4683,893.00
16.4827,887.00
16.4971,1006.00
16.5115,905.00
16.5259,950.00
16.5403,955.00
16.5547,1030.93
16.5691,1015.07
16.5835,1154.23
16.5979,1250.42
16.6123,1302.60
16.6267,1331.26
16.6411,1460.19
16.6556,1467.00
16.6700,1428.00
16.6844,1469.00
16.6988,1410.00
16.7132,1425.00
16.7276,1363.00
16.7420,1432.00
16.7564,1315.91
16.7708,1248.37
16.7852,1142.98
16.7996,1104.09
16.8140,1022.23
16.8284,964.93
16.8429,965.95
16.8573,914.00
16.8717,911.00
16.8861,827.00
16.9005,866.00
16.9149,881.00
16.9293,854.00
16.9437,831.00
16.9581,826.79
16.9725,838.05
16.9869,908.14
17.0013,847.26
17.0157,846.23
17.0301,861.58
17.0446,859.53
17.0590,856.00
17.0734,840.00
17.0878,858.00
17.1022,857.00
17.1166,805.00
17.1310,893.50
17.1454,883.00
17.1598,862.60
17.1742,903.53
17.1886,864.65
17.2030,783.81
17.2174,821.67
17.2318,910.70
17.2463,851.35
17.2607,861.00
17.2751,866.00
17.2895,912.00
17.3039,887.00
17.3183,855.00
17.3327,812.00
17.3471,854.00
17.3615,896.37
17.3759,862.60
17.3903,842.65
17.4047,889.21
17.4191,842.14
17.4336,877.95
17.4480,857.49
17.4624,886.00
17.4768,860.50
17.4912,836.00
17.5056,866.00
17.5200,848.00
17.5344,847.50
17.5488,847.00
17.5632,838.56
17.5776,801.21
17.5920,883.07
17.6064,777.67
17.6208,826.79
17.6353,863.63
17.6497,840.09
17.6641,861.00
17.6785,845.00
17.6929,905.00
17.7073,828.00
17.7217,835.00
17.7361,805.00
17.7505,838.05
17.7649,873.86
17.7793,873.86
17.7937,873.86
17.8081,854.93
17.8226,874.88
17.8370,830.88
17.8514,826.00
17.8658,840.00
17.8802,822.00
17.8946,884.00
17.9090,842.50
17.9234,892.00
17.9378,879.00
17.9522,874.88
17.9666,871.81
17.9810,877.95
17.9954,807.35
18.0098,854.42
18.0243,854.93
18.0387,844.19
18.0531,848.50
18.0675,908.00
18.0819,846.00
18.0963,900.00
18.1107,862.00
18.1251,908.00
18.1395,853.00
18.1539,884.09
18.1683,847.26
18.1827,872.84
18.1971,870.79
18.2116,816.56
18.2260,860.56
18.2404,864.65
18.2548,829.00
18.2692,820.00
18.2836,802.00
18.2980,787.00
18.3124,806.00
18.3268,807.00
18.3412,803.00
18.3556,837.53
18.3700,929.12
18.3844,832.42
18.3988,846.23
18.4133,883.07
18.4277,848.28
18.4421,840.60
18.4565,820.00
18.4709,798.00
18.4853,792.00
18.4997,845.00
18.5141,848.00
18.5285,840.00
18.5429,838.00
18.5573,877.95
18.5717,847.26
18.5861,807.35
18.6005,775.63
18.6150,844.19
18.6294,837.02
18.6438,851.35
18.6582,794.00
18.6726,764.00
18.6870,836.00
18.7014,829.00
18.7158,813.00
18.7302,786.00
18.7446,816.00
